id,description,code,code,unit_size,category,link,rank,price,cost,created_at,updated_at
07b0e3c0-6ccd-4789-be56-e59d385a021d,"Señal Vertical Preventiva Lámina: Reflectivo tipo IV Grado Prismático (HIP)  Soporte: fibra de vidrio 4mm con platina embebida de 1 1/2""x1/8"" Pictograma: Reflectivo Grado Ingenieria",FHP60,FHP60,60x60cm,viales,https://tellsenales.com/seguridad/senal-preventiva-en-fibra-de-vidrio-4mm-con-lamina-reflectiva-hip/,10,135,80,2023-08-03 03:38:19.427,2025-01-02 01:48:44.266
09863f68-a313-455d-b684-726e811907e5,"Señal reglamentaria soporte: fibra de vidrio 4 mm con refuerzo platina de 1 1/2 "" lamina: Reflectivo tipo IV alta intensidad prismatico ( HIP) marca 3M , pictograma: vinil rotulado",FHR-3M,FHR-3M,60x90cm,viales,https://tellsenales.com/seguridad/senal-reguladora-en-fibra-de-vidrio-4mm-con-lamina-reflectiva-hip/,0,250,200,2023-08-03 03:38:19.427,2024-08-24 22:48:46.966
09abb4f5-2aff-4831-aa69-a46ffe55555e,Señal vinil laminado aplicado en soporte acrilico de 2 mm con dobles de 5 cm y doble cara,AC-DD,AC-DD,20x30cm,convencionales,https://tellsenales.com/seguridad/senales-en-acrilico-en-diferente-espesores-2mm-or-3mm-or-5mm/,0,15,5,2023-08-03 03:38:19.427,2024-09-21 23:44:08.643
0a40c097-1168-4182-80d7-00ba661fbfb1,"Parante con base de concreto 45x45cm, liston 2"" x 2"" x 3 M.  - Pintando base zincromato + gloss patrón Zebra cada 50cm (blanco / negro ) ",PSC,PSC,und,seguridad,,0,65,40,2023-09-15 15:45:37.834,2024-07-25 18:58:52.961
0b3bebda-db8f-4605-a0cd-5784a4bddc64,Tablero de Estación de Emergencia 200x120cm  - Vinil Arclad laminado aplicado sobre soporte MDF Trupan de 10mm,EEM,EEM,und,obras,https://tellsenales.com/seguridad/tablero-de-estacion-de-emergencia-personalizable/,0,100,210,2024-10-21 17:17:43.362615,2024-10-21 17:17:43.362615
0c60ad5c-55a0-4563-be0e-0937ce1c78c5,Señal para obras vinil Arclad laminado con soporte triplay 4 mm,TR40X60,TR40X60,40x60cm,obras,https://tellsenales.com/seguridad/senales-temporales-vinil-con-soporte-triplay-4mm-para-obras-y-construccion/,0,17,9,2023-08-03 03:38:19.427,2024-10-03 21:29:35.451
0c65d131-ebba-4e83-bdd4-4765a4e59af7,Cono de seguridad de 12 pulgadas ( 30 cm ),CN-12,CN-12,und,proteccion vial,https://tellsenales.com/seguridad/cono-de-seguridad-naranja-12-30cm/,0,18,12,2023-08-03 03:38:19.427,2024-09-19 20:20:20.886
0d46c088-16d2-481c-8d4d-80f6bb9d8fd6,Señal fotoluminiscente tipo bandera ( doble cara y con dobles de 5 cm ) soporte: pvc celtex 3 mm pictograma: vinil rotulado,FTB20X30-3,FTB20X30-3,20x30cm,fotoluminiscente,https://tellsenales.com/seguridad/senal-fotoluminiscente-con-dobles-tipo-bandera-soporte-pvc-celtex-3mm-5mm/,0,14,6,2023-08-03 03:38:19.427,2024-08-24 14:22:53.063
0d898676-1d03-4c6e-833b-8ef682e2d28a,"Señal Vertical Preventiva  soporte: fibra de vidrio 4 mm con refuerzo platina 1 1/2"" Lámina: Reflectiva tipo XI Diamond Grade - 3M , Pictograma: Reflectivo grado ingeniería",FDP40,FDP40,40x40cm,viales,"Señal Vertical Preventiva  soporte: fibra de vidrio 4 mm con refuerzo platina 1 1/2"" Lámina: Reflectiva tipo XI Diamond Grade - 3M , Pictograma: Reflectivo grado ingeniería",0,115,75,2024-01-14 18:29:40.142,2025-01-02 02:33:24.566
0dabeea7-4903-4070-88ca-017745be98b2,"Señal vertical preventiva Soporte: fibra de vidrio 4 mm con refuerzo platina 1 1/2"" Lamina: retroreflectiva tipo IV Alta Intensidad Prismático ( HIP) Pictograma: vinil rotulado",FHP30,FHP30,30x30cm,viales,https://tellsenales.com/seguridad/senal-preventiva-en-fibra-de-vidrio-4mm-con-lamina-reflectiva-hip/,0,50,25,2024-10-24 22:07:19.529,2024-10-24 22:07:42.531
0e947660-4a30-4f1a-a74f-d2d5fac52296,"Rollo de Cinta reflectiva 4""x45.7mts color blanco - Reflexlite",CR4-REF-BL,CR4-REF-BL,rollo,cintas seguridad,,0,280,280,2023-08-03 03:38:19.427,2023-08-03 03:38:19.427
0e95ffaa-a5ba-432f-a008-ebf0e5b7dee5,Señal fotoluminiscente soporte: acrilico 2 mm lamina: fotoluminiscente 5 hrs pictograma: vinil rotulado,AFT,AFT,20x30cm,fotoluminiscente,,0,15,7,2023-08-03 03:38:19.427,2023-08-03 03:38:19.427
0eacf261-f474-4704-928c-3e0d9a864a80,Lámina reflectiva Alta Intensidad Prismático (3930 HIP) BLANCO AMBAR 1.22Mx45.7M -  3M,R120-3M-BL,R120-3M-BL,Rollo,viniles,,0,8300,7222,2024-12-18 15:05:33.235,2024-12-26 17:24:51.244
0f8792ff-0698-4c61-ae01-4336fff30b4e,"Cinta reflectiva grado ingeniería 2"" x 45.7M, color amarrillo - Reflexlite",CIAN,CIAN,rollo,cintas seguridad,https://tellsenales.com/seguridad/cinta-senalizacion-grado-ingenieria-amarillo-negro/,0,50,30,2024-10-29 14:52:40.549,2024-10-29 14:53:33.799
0faea73e-a0d8-46c9-8fe1-e5fe5bd4a463,"Señal para obras marco de madera con liston de 2x2"" + banner de 12 onzas templado",BNM-2,BNM-2,60x80cm,obras,,0,0,0,2023-08-03 03:38:19.427,2023-08-03 03:38:19.427
0ff18cfb-6c4b-40b8-a41f-52cb6c0885c5,"Señal Vertical Preventiva  soporte: fibra de vidrio 4 mm con refuerzo platina 1 1/2"" Lámina: Reflectiva tipo XI Diamond Grade - 3M , Pictograma: Reflectivo grado ingeniería",FDP60,FDP60,60x60cm,viales,https://tellsenales.com/seguridad/senal-preventiva-en-fibra-de-vidrio-4mm-con-lamina-reflectiva-hip/,0,230,180,2023-08-03 03:38:19.427,2025-01-30 23:46:52.471
112d61cc-ae24-44de-9cbf-9babc655f240,Señal para obras vinil chino aplicado en soporte Trupan MDF Genérico 4mm,TRUCH40X60,TRUCH40X60,40x60cm,obras,https://tellsenales.com/seguridad/senales-temporales-vinil-con-soporte-triplay-4mm-para-obras-y-construccion/,0,12.5,7.5,2024-09-20 23:52:28.697416,2024-09-20 23:53:07.756
11b537c7-fc18-44e1-aa43-a37cef23de97,Rótulos magnéticos  ( vinil laminado con protección UV aplicado sobre lámina imantada de 0.8mm ) para vehículos y otros usos,im-8,im-8,30x40cm,seguridad,,0,30,15,2024-03-19 14:38:20.261,2024-03-19 14:38:20.261
1366365f-86a8-4e35-a24f-6ed83e4224f2,"Panel compuesto de aluminio - substrato de aluminio (PAL ) 5mm ",PAL-5MM,PAL-5MM,240x120cm,seguridad,https://tellsenales.com/seguridad/panel-aluminio-compuesto-sustrato-de-aluminio-4mm/,0,320,239,2024-07-01 21:22:21.17,2024-08-24 22:42:20.896
1465d11f-96e1-4739-aae7-7e5a9b2677a2,Señal acrílico de 2mm con pictograma impresión vinil Arclado con laminado blanco aplicado al espejo,AC20X30-2,AC20X30-2,20x30cm,articulos seguridad,https://tellsenales.com/seguridad/senales-en-acrilico-en-diferente-espesores-2mm-or-3mm-or-5mm/,0,12,6,2024-06-20 21:46:36.504,2024-08-24 23:11:15.778
14fd6cdc-9b0b-4c2d-9074-f720d299f767,"Parante con base de concreto 40x40cm, liston 2"" x 2"" x 3 M.  - Pintando base zincromato + gloss patrón Zebra y Asa de fierro corrugado",PSCA,PSCA,und,obras,https://tellsenales.com/seguridad/parante-para-senalizacion-con-base-de-concreto/,0,80,55,2024-11-03 15:51:38.702,2024-11-03 15:53:53.934
168324b5-f62b-45a8-adc7-cd1f72caa7f1,Letras rotuladas / ploteadas en vinil   + transfer de papel,rot,rot,20x10cm,seguridad,,0,4,1,2024-02-27 19:54:18.408,2024-02-27 19:54:18.408
17447334-1ff5-4fc5-a150-955ebad6713a,BOTELLA LAVAOJO INDIVIDUAL DE 500 ml (D001-100) - marca Hawls Avlis,LVO-500,LVO-500,und,epp,https://tellsenales.com/seguridad/botella-lavaojos-haws-avlis-d001-100/,0,105,78,2024-03-07 20:42:12.67,2024-11-03 15:55:42.113
177dfd38-dc3e-46bf-9552-0d6277eeb656,Señal reglamentaria lamina: reflectiva tipo iv alta intensidad prismatico ( hip) pictograma: vinil rotulado,LHIP-R,LHIP-R,60x90cm,viales,,0,100,55,2023-08-03 03:38:19.427,2023-08-03 03:38:19.427
